uid,city,state,country,iso3,country_code,region,sub_region,latitude,longitude,accuracy,status,plant_type,production_type,confdnc,capacity,capacity_source,year,owner_permid,owner_name,owner_source,parent_permid,parent_name,ownership_stake,parent_lei,parent_holding_status,parent_ticker,parent_exchange,parent_permid_2,parent_name_2,ownership_stake_2,parent_lei_2,parent_holding_status_2,parent_ticker_2,parent_exchange_2,sourcing,raw_mtrl,clinker
GACTAFG0001,Pol-e Khomri,Baghlan,Afghanistan,AFG,4,Asia,Southern Asia,35.9658,68.686338,Exact,Operating,Grinding,n/a,0.77450037,0.36,company reports,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,local,unknown,n/a
GACTAFG0002,Injil,Herat,Afghanistan,AFG,4,Asia,Southern Asia,34.322144,61.953503,Exact,Under Construction,Integrated,Dry,1,1,news,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,local,"limestone, gypsum",n/a
GACTAGO0001,Luanda,Luanda,Angola,AGO,24,Africa,Sub-Saharan Africa,-8.766173,13.316051,Exact,Operating,Integrated,Dry,0.52481574,1.2,company reports,n/a,4296811479,Nova Cimangola,http://www.cimangola.com/?page_id=1168&lang=en,4296811479,Nova Cimangola,n/a,n/a,Private,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,local,limestone,n/a
GACTAGO0002,Cacuaco,Luanda,Angola,AGO,24,Africa,Sub-Saharan Africa,-8.796392,13.42678,Exact,Operating,Integrated,Dry,0.52481574,1.8,news,2017,4296811479,Nova Cimangola,http://www.cimangola.com/?page_id=1168&lang=en,4296811479,Nova Cimangola,n/a,n/a,Private,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,local,limestone,n/a
GACTAGO0003,Lobito,Benguela,Angola,AGO,24,Africa,Sub-Saharan Africa,-12.342644,13.581766,Exact,Operating,Integrated,Dry,0.9999998,0.35,company reports,n/a,5035943898,Secil Angola SARL,http://www.secil-group.com/a-secil/a-secil-no-mundo/?lang=en#secil_no_mundo_tunisia_en,4295886745,Secil Companhia Geral de Cal e Cimento SA,n/a,5493002X2CCY60HWCU94,Private,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,hybrid,unknown,clinker
GACTAGO0004,Sumbe,Kwanza-Sul,Angola,AGO,24,Africa,Sub-Saharan Africa,-11.185243,14.030804,Exact,Operating,Integrated,Dry,0.9999998,1.4,company reports,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,hybrid,unknown,clinker
GACTAGO0005,Ícolo e Bengo,Bengo,Angola,AGO,24,Africa,Sub-Saharan Africa,-9.101295,13.567408,Exact,Operating,Integrated,Dry,0.52481574,4,company reports,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,local,limestone,n/a
GACTAGO0006,Benguela,Benguela,Angola,AGO,24,Africa,Sub-Saharan Africa,-12.537825,13.496729,Exact,Operating,Integrated,Dry,1,0.7,company reports,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,local,unknown,n/a
GACTALB0001,Rrethi i Lezhës,Qarku i Lezhës,Albania,ALB,8,Europe,Southern Europe,41.83677,19.63345,Exact,Operating,Grinding,n/a,0.6802924,0.5,company reports,2010,n/a,Colacem Albania Shpk,https://www.colacem.com/al/sq/ku_dhe_si,4296427455,Colacem SpA,n/a,81560006C18832ACD262,Private,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,hybrid,unknown,clinker
GACTALB0002,Rrethi i Krujës,Qarku i Durrësit,Albania,ALB,8,Europe,Southern Europe,41.503079,19.743606,Exact,Operating,Grinding,n/a,0.7140056,1.33,company reports,n/a,4296766190,Kushe Kruje Cement Factory,http://www.seament.com/contactus.php,5041753428,Seament Holding Sal,n/a,n/a,Private,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,hybrid,unknown,clinker
GACTALB0003,Rrethi i Krujës,Qarku i Durrësit,Albania,ALB,8,Europe,Southern Europe,41.549091,19.725338,Exact,Operating,Grinding,n/a,0.7140056,1.4,company reports,2010,5036173163,Antea Cement ShA,http://www.anteacement.com/_home/antea-cement/,5066579091,Titan Cement International SA,n/a,213800H2CDP9I374WH83,Public,TITC,BRU,n/a,n/a,n/a,n/a,n/a,n/a,n/a,hybrid,unknown,clinker
GACTALB0004,Rrethi i Elbasanit,Qarku i Elbasanit,Albania,ALB,8,Europe,Southern Europe,41.120103,20.045136,Exact,Operating,Grinding,n/a,1,0.3,company reports,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,hybrid,unknown,clinker
GACTARE0001,Eastern Region,Abu Dhabi,United Arab Emirates,ARE,784,Asia,Western Asia,24.003398,55.438602,Exact,Operating,Integrated,Wet,0.9999999,3.6,company website,n/a,5074852997,Al Ain Cement Factory,https://www.emiratescement.ae/en/contactus.aspx,4298008642,Arkan Building Materials Company PJSC,n/a,n/a,Public,ARKAN,ABD,n/a,n/a,n/a,n/a,n/a,n/a,n/a,local,"limestone, clay",n/a
GACTARE0002,Al Ain,Abu Dhabi,United Arab Emirates,ARE,784,Asia,Western Asia,24.137441,55.733956,Exact,Operating,Integrated,Wet,0.9999999,5,news,1994,5035440316,Emirates Cement Factory,https://www.emiratescement.ae/en/contactus.aspx,4298008642,Arkan Building Materials Company PJSC,n/a,n/a,Public,ARKAN,ABD,n/a,n/a,n/a,n/a,n/a,n/a,n/a,local,"limestone, clay",n/a
GACTARE0003,Dubai,Dubai,United Arab Emirates,ARE,784,Asia,Western Asia,24.998572,55.134171,Exact,Operating,Integrated,Dry,0.9759848,3,news,n/a,5035580861,CEMEX Falcon LLC,https://www.cemex.ae/locations,5000057902,CEMEX SAB de CV,n/a,549300RIG2CXWN6IV731,Public,CEMEXCPO,MEX,n/a,n/a,n/a,n/a,n/a,n/a,n/a,import,unknown,n/a
GACTARE0004,Ghalilah,Ras al Khaimah,United Arab Emirates,ARE,784,Asia,Western Asia,25.972745,56.070834,Exact,Operating,Integrated,Dry,1,3.8,company website,1982,4295893472,Gulf Cement Co PSC,https://gulfcement.ae/en/our-history/,4295893472,Gulf Cement Co PSC,n/a,n/a,Public,GCEM,ABD,n/a,n/a,n/a,n/a,n/a,n/a,n/a,local,unknown,n/a
GACTARE0005,Dubai,Dubai,United Arab Emirates,ARE,784,Asia,Western Asia,25.00427,55.12941,Exact,Operating,Integrated,Dry,0.9759848,0.84,company website,1978,5041755029,Jebel Ali Cement Factory PSC,https://www.jacement.com/,5041755029,Jebel Ali Cement Factory PSC,n/a,n/a,Private,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,import,unknown,n/a
GACTARE0006,Ras Al-Khaimah,Ras al Khaimah,United Arab Emirates,ARE,784,Asia,Western Asia,25.548753,55.986541,Exact,Operating,Integrated,Dry,1,1,company website,2014,5036198541,JK Cement Works Fujairah FZC,https://www.jkcementuae.com/company/,5036198541,JK Cement Works Fujairah FZC,n/a,213800ULYY4CIPVWPT54,Private,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,local,unknown,n/a
GACTARE0007,Dibba Al Fujairah,Fujairah,United Arab Emirates,ARE,784,Asia,Western Asia,25.552944,56.226827,Exact,Operating,Integrated,Wet,1,3.2,company website,1996,4296646466,Lafarge Emirates Cement LLC,https://www.lafarge.ae/lafarge-uae-a-member-lafargeholcim,4295890620,LafargeHolcim Ltd,n/a,529900EHPFPYHV6IQO98,Public,LHN,SWX,n/a,n/a,n/a,n/a,n/a,n/a,n/a,local,unknown,n/a
GACTARE0008,Ras Al-Khaimah,Ras al Khaimah,United Arab Emirates,ARE,784,Asia,Western Asia,25.558872,55.985251,Exact,Operating,Integrated,Dry,1,2.5,news,n/a,4296646466,Lafarge Emirates Cement LLC,https://www.lafarge.ae/1-About_us,4295890620,LafargeHolcim Ltd,n/a,529900EHPFPYHV6IQO98,Public,LHN,SWX,n/a,n/a,n/a,n/a,n/a,n/a,n/a,local,unknown,n/a
GACTARE0009,Abu Dhabi,Abu Dhabi,United Arab Emirates,ARE,784,Asia,Western Asia,24.315716,54.495748,Exact,Operating,Integrated,Wet,0.81194043,2,news,n/a,4295893487,National Cement Co PSC,https://www.lafargeholcim.com/directory?page=4,4295890620,LafargeHolcim Ltd,n/a,529900EHPFPYHV6IQO98,Public,LHN,SWX,n/a,n/a,n/a,n/a,n/a,n/a,n/a,local,unknown,n/a
GACTARE0010,Eastern Region,Abu Dhabi,United Arab Emirates,ARE,784,Asia,Western Asia,24.040157,55.593386,Exact,Operating,Integrated,Wet,0.9999999,5,news,n/a,5050910802,Nael Cement Products Factory,https://www.ncpuae.com/#,5050910802,Nael Cement Products Factory,n/a,n/a,Private,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,local,"limestone, clay",n/a
GACTARE0011,Dubai,Dubai,United Arab Emirates,ARE,784,Asia,Western Asia,25.157152,55.242025,Exact,Operating,Integrated,Dry,0.9759848,1.5,company website,n/a,4295893487,National Cement Co PSC,http://www.nationalcement.ae/contact.htm,4295893487,National Cement Co PSC,n/a,254900IY1MRIP8LR6U38,Public,NCC,DBX,n/a,n/a,n/a,n/a,n/a,n/a,n/a,import,unknown,n/a
GACTARE0012,Adhen Village,Ras al Khaimah,United Arab Emirates,ARE,784,Asia,Western Asia,25.386639,55.968218,Exact,Operating,Integrated,Wet,1,1.2,company reports,2006,5001427098,Pioneer Cement Industries LLC,https://pioneercements.ae/about-us/company-overview,5001427098,Pioneer Cement Industries LLC,n/a,n/a,Private,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,local,unknown,n/a
GACTARE0013,Ghalilah,Ras al Khaimah,United Arab Emirates,ARE,784,Asia,Western Asia,25.975192,56.068896,Exact,Operating,Integrated,Dry,1,1,company website,n/a,4298061671,Ras Al Khaimah Cement Company PSC,http://rakcc.ae/en/location.htm,4298061671,Ras Al Khaimah Cement Company PSC,n/a,n/a,Public,RAKCC,ABD,n/a,n/a,n/a,n/a,n/a,n/a,n/a,local,unknown,n/a
GACTARE0014,Ghalilah,Ras al Khaimah,United Arab Emirates,ARE,784,Asia,Western Asia,25.964045,56.069847,Exact,Operating,Integrated,Dry,1,0.9,company website,1978,5000050939,Ras Al Khaimah for White Cement and Construction Materials Co PSC,http://www.rakwhitecement.ae/about-us/,5000050939,Ras Al Khaimah for White Cement and Construction Materials Co PSC,n/a,n/a,Public,RAKWCT,ABD,n/a,n/a,n/a,n/a,n/a,n/a,n/a,local,unknown,n/a
GACTARE0015,Al Sajaa Industrial Area,Sharjah,United Arab Emirates,ARE,784,Asia,Western Asia,25.296089,55.617005,Exact,Operating,Integrated,Dry,0.9759848,4.27,company website,1977,4295893462,Sharjah Cement and Industrial Development Company PSC,https://sharjahcements.com/en/about-us/,4295893462,Sharjah Cement and Industrial Development Company PSC,n/a,549300KCL0CHLNC3TN08,Public,SCIDC,ABD,n/a,n/a,n/a,n/a,n/a,n/a,n/a,import,unknown,n/a
GACTARE0016,Ghalilah,Ras al Khaimah,United Arab Emirates,ARE,784,Asia,Western Asia,25.967124,56.064911,Exact,Operating,Integrated,Dry,1,4.8,company website,1975,4298008640,Union Cement Company PJSC,http://www.uccrak.com/index.aspxMenuID34CatID10mnuCat.htm,4295874015,Shree Cement Ltd,n/a,335800W6FNBDUZ89L830,Public,SHREECEM,NSI,n/a,n/a,n/a,n/a,n/a,n/a,n/a,local,unknown,n/a
GACTARE0017,Abu Dhabi,Abu Dhabi,United Arab Emirates,ARE,784,Asia,Western Asia,24.291296,54.460784,Exact,Operating,Integrated,Dry,0.81194043,1.2,company website,2008,n/a,Teba Cement Factory,http://tebacement.com/locationmap.htm,n/a,Teba Cement Factory,n/a,n/a,Private,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,local,unknown,n/a
GACTARE0018,Ras Al-Khaimah,Ras al Khaimah,United Arab Emirates,ARE,784,Asia,Western Asia,25.556404,55.977484,Exact,Operating,Integrated,Dry,1,3.5,news,1977,4297577683,Star Cement Co LLC,http://www.starcement.ae/index.php/contact-us,4295873970,UltraTech Cement Ltd,n/a,335800PC9O9B4BQHG814,Public,ULTRACEMCO,NSI,n/a,n/a,n/a,n/a,n/a,n/a,n/a,local,unknown,n/a
GACTARE0019,Dubai,Dubai,United Arab Emirates,ARE,784,Asia,Western Asia,25.002524,55.133951,Exact,Operating,Integrated,Dry,0.9759848,2.8,news,1996,5000056802,Binani Cement Factory LLC,http://binaniindustries.com/our-business-areas/cement/,4295873970,UltraTech Cement Ltd,n/a,335800PC9O9B4BQHG814,Public,ULTRACEMCO,NSI,n/a,n/a,n/a,n/a,n/a,n/a,n/a,import,unknown,n/a
GACTARE0020,Ajman,Ajman,United Arab Emirates,ARE,784,Asia,Western Asia,25.43386,55.552188,Exact,Operating,Integrated,Wet,0.9759848,3.2,news,1980,4297577683,Star Cement Co LLC,http://www.starcement.ae/index.php/contact-us,4295873970,UltraTech Cement Ltd,n/a,335800PC9O9B4BQHG814,Public,ULTRACEMCO,NSI,n/a,n/a,n/a,n/a,n/a,n/a,n/a,import,unknown,n/a
