uid,facility.country,supplier.country,supplier.latitude,supplier.longitude
GACTAFG0001,Afghanistan,Pakistan,67.178151159,30.1987630866
GACTAFG0001,Afghanistan,Kyrgyzstan,71.6974289655,40.1178766759
GACTAFG0001,Afghanistan,Tajikistan,69.4217008919,39.1069844115
GACTAFG0001,Afghanistan,Tajikistan,68.666494318,39.1396901234
GACTAFG0001,Afghanistan,Tajikistan,67.7270956531,39.3481329381
GACTAFG0002,Afghanistan,Pakistan,67.178151159,30.1987630866
GACTAFG0002,Afghanistan,Iran,60.4306739137,34.5506685517
GACTAFG0002,Afghanistan,Iran,60.44946245,34.4769959843
GACTAFG0002,Afghanistan,Uzbekistan,63.8294170939,41.1710278604
GACTAFG0002,Afghanistan,Pakistan,61.6123145433,29.2515717606
GACTAFG0002,Afghanistan,Pakistan,61.6448738123,29.2412581616
GACTAGO0001,Angola,Angola,17.8411470495,-8.5390468814
GACTAGO0001,Angola,Ghana,-2.3094350488,4.9475091774
GACTAGO0001,Angola,Gabon,10.9703413909,0.0757558173
GACTAGO0001,Angola,Angola,17.8440332516,-8.5498524671
GACTAGO0001,Angola,Gabon,13.1701130843,-1.9470992532
GACTAGO0001,Angola,Gabon,10.97778033,0.0679296799
GACTAGO0002,Angola,Angola,17.8411470495,-8.5390468814
GACTAGO0003,Angola,Angola,18.8711101518,-9.6182687851
GACTAGO0003,Angola,Angola,18.8898956944,-9.6354446439
GACTAGO0003,Angola,Angola,17.8440332516,-8.5498524671
GACTAGO0003,Angola,Angola,17.9682409686,-8.8444382855
GACTAGO0003,Angola,Namibia,17.7180177443,-19.2280893847
GACTAGO0004,Angola,Angola,20.2890958968,-9.3896153438
GACTAGO0004,Angola,Angola,18.8324556812,-9.5555408153
GACTAGO0004,Angola,Angola,20.2981488238,-9.415825518
GACTAGO0004,Angola,Angola,17.8440332516,-8.5498524671
GACTAGO0004,Angola,Angola,18.8898956944,-9.6354446439
GACTAGO0004,Angola,Angola,20.3113470042,-9.4162327872
GACTAGO0004,Angola,Angola,20.2862469239,-9.4023506503
GACTAGO0004,Angola,Angola,18.7813166931,-9.4871776197
GACTAGO0004,Angola,Angola,17.9682409686,-8.8444382855
GACTAGO0004,Angola,Angola,20.425022179,-8.9645633626
GACTAGO0004,Angola,Angola,18.8991863333,-9.6181033043
GACTAGO0004,Angola,Angola,18.8637904936,-9.5986505877
GACTAGO0004,Angola,Angola,18.8711101518,-9.6182687851
GACTAGO0005,Angola,Angola,17.8411470495,-8.5390468814
GACTAGO0005,Angola,Angola,17.8467813425,-8.535838848
GACTAGO0005,Angola,Angola,17.9053844142,-8.6476262001
GACTAGO0005,Angola,Angola,17.8440332516,-8.5498524671
GACTAGO0005,Angola,Angola,17.9814390662,-8.8132611037
GACTAGO0005,Angola,Angola,18.7813166931,-9.4871776197
GACTAGO0005,Angola,Angola,17.9763374214,-8.8166549085
GACTAGO0005,Angola,Angola,17.9188929516,-8.6578900595
GACTAGO0005,Angola,Angola,17.8882178654,-8.6406580163
GACTAGO0005,Angola,Angola,17.9682409686,-8.8444382855
GACTAGO0005,Angola,Angola,17.9784015509,-8.8004125573
GACTAGO0005,Angola,Angola,20.425022179,-8.9645633626
GACTAGO0006,Angola,Namibia,17.7180177443,-19.2280893847
GACTAGO0006,Angola,Angola,17.8411470495,-8.5390468814
GACTAGO0006,Angola,Namibia,15.2067520237,-26.9049594037
GACTAGO0006,Angola,Gabon,13.1701130843,-1.9470992532
GACTAGO0006,Angola,Angola,17.8440332516,-8.5498524671
GACTAGO0006,Angola,Namibia,14.8234665778,-22.1881718218
GACTAGO0006,Angola,Angola,18.8711101518,-9.6182687851
GACTAGO0006,Angola,Namibia,14.8304235014,-22.1456959436
GACTAGO0006,Angola,Namibia,17.5102938291,-19.2632312967
GACTAGO0006,Angola,Gabon,10.97778033,0.0679296799
GACTAGO0006,Angola,Angola,18.8898956944,-9.6354446439
